X,,Y,,Z,,
-1894,",",-141,",",813,",",RAND 1
-1823,",",-92,",",802,",",
-1814,",",-133,",",795,",",
-1089,",",1866,",",19,",",RAND 2
-1036,",",1791,",",6,",",
-1050,",",1811,",",-2,",",
-1355,",",1063,",",-1117,",",RAND 3
-1356,",",1085,",",-1088,",",
-1370,",",1095,",",-1112,",",
570,",",-1423,",",1467,",",RAND 4
560,",",-1362,",",1450,",",
557,",",-1402,",",1435,",",
-425,",",-1451,",",1430,",",RAND 5
-438,",",-1433,",",1385,",",
-432,",",-1430,",",1387,",",
-900,",",-628,",",-1697,",",RAND 6
-865,",",-593,",",-1706,",",
-849,",",-636,",",-1719,",",
-843,",",-202,",",1844,",",RAND 7
-833,",",-237,",",1834,",",
-829,",",-194,",",1851,",",
1497,",",472,",",-1208,",",RAND 8
1445,",",618,",",-1130,",",
1566,",",531,",",-1179,",",
-1696,",",-267,",",-1118,",",RAND 9
-1650,",",-229,",",-1133,",",
-1619,",",-239,",",-1120,",",
-1759,",",-823,",",-499,",",RAND 10
-1771,",",-907,",",-576,",",
-1786,",",-891,",",-574,",",
-1108,",",-1462,",",-1041,",",RAND 11
-1157,",",-1463,",",-918,",",
-1086,",",-1441,",",-921,",",
713,",",1767,",",-795,",",RAND 12 
712,",",1776,",",-802,",",
716,",",1775,",",-813,",",
-190,",",1091,",",-1759,",",RAND 13
-198,",",1085,",",-1751,",",
-198,",",1087,",",-1767,",",
-1568,",",-1086,",",627,",",RAND 14
-1522,",",-1182,",",595,",",
-1474,",",-1176,",",611,",",
1902,",",49,",",-433,",",X UP
1940,",",50,",",-266,",",
1947,",",46,",",-237,",",
31,",",2040,",",90,",",Y UP
32,",",2033,",",79,",",
37,",",2040,",",80,",",
-10,",",21,",",2051,",",Z UP
-11,",",10,",",2064,",",
-12,",",15,",",2062,",",
